Names,Redshift,Re,Re_err,Rgas,Rgas_err,Mstar,Mstar_err,Mbar,Mbar_err,Mstar_Re,Mstar_Re_err,Mstar_Ropt,Mstar_Ropt_err,Mstar_Rout,Mstar_Rout_err,Mbar_Re,Mbar_Re_err,Mbar_Ropt,Mbar_Ropt_err,Mbar_Rout,Mbar_Rout_err,VRe,VRe_err,VRopt,VRopt_err,VRout,VRout_err,PSF,FILE_1,ID_1_1
COS4_04519_K,2.2285,2.4420667311447084,0.0676004631458742,3.6521439882374085,1.520452206035516,40738027780.41122,4073802778.041122,130313688552.09125,98404196608.27808,13186449907.570986,11561748050.415567,20749256683.848713,18535350125.081135,24386599617.201347,21898972166.351887,20732963558.452526,13982059389.274336,40247395341.09833,23891874366.115498,57771475810.133705,31228596601.51083,203.8797926482165,24.32075767227655,183.2267149235803,30.072979473962437,183.2267149235803,30.072979473962437,3.2934945644669944,COS4_04519_K.fits,COS4_04519
COS4_05656_YJ,0.79798,2.384789228633021,0.0231532934818739,2.999880759734849,1.243092032196015,47863009232.2638,4786300923.22638,101043404123.01282,71547341344.76118,15492727754.737747,13818189974.36108,24378250944.66656,21883650157.652206,28651756263.539154,25766581892.83658,20760104360.088486,15669068292.72547,37471037037.60718,25032036709.379696,50290301601.89077,30069156078.341713,220.41784686587303,30.72562275908878,200.42634742340584,24.86182630033325,204.7358696798068,24.765994279232576,3.265308979748689,COS4_05656_YJ.fits,COS4_05656
COS4_06487_YJ,0.9068795,4.0061466298125,0.0321133998381763,4.7277104947640645,1.9725922956506512,75857757502.91852,7585775750.291852,125696214220.58328,90764922417.03362,24554318751.137268,21935073922.274273,38636923966.31084,34698997195.63725,45409973454.13838,40842828319.65884,28843448067.57202,24579940981.37846,49468927521.55145,38765831841.585884,63657434408.42681,45787100145.30384,271.7369066751252,45.64863602535976,253.47065052068191,16.516235818793476,253.47065052068191,16.516235818793476,3.396714584383509,COS4_06487_YJ.fits,COS4_06487
COS4_07901_YJ,0.87844,5.513158982155697,0.1113769491344585,7.532505460380795,3.1593681746621556,6606934480.075964,660693448.0075965,27536391795.95243,21947523021.08627,2138591760.8416395,1888609698.244334,3365135400.2558174,3012231415.1213865,3955043349.942664,3553764757.296223,3372046432.460237,2184651085.0559335,6679645026.589139,3566871043.052639,9891063895.872284,4469149692.441969,72.39718528420539,16.980867153878737,68.14843109126285,16.46792564655586,68.14843109126285,16.46792564655586,4.944659211787954,COS4_07901_YJ.fits,COS4_07901
COS4_10344_H,1.5148,2.3709429935177986,0.0868477287002856,9.807513923972522,6.320122906040433,9120108393.559114,912010839.3559114,173290698218.56747,164423717694.86728,2952078415.075179,2565899145.1675878,4645179954.771267,4139311855.46106,5459479606.083141,4898960724.698284,4107495730.936199,2986394666.8350415,8394299855.573507,4879795919.875269,13664878583.831177,6361930288.213456,109.42065680587046,15.31040311668719,118.96141585221945,10.050063449622536,118.96141585221945,10.050063449622536,3.5294916943796086,COS4_10344_H.fits,COS4_10344
COS4_11696_H,1.51704,1.363559043680238,0.0347403578007704,7.950579518475332,4.3937572747946305,17782794100.38923,1778279410.0389228,80707371718.8136,65389068157.25355,5756094155.696617,5057624739.449998,9057379049.715061,8095863339.138407,10645136827.410376,9560971443.900381,6025347651.376,5757726373.087714,9948817960.60486,9069391508.169828,12641181728.840002,10697781031.670553,177.96584878341343,25.339046957324708,189.59764574989697,21.106674120217995,190.73279911001512,24.266800215984407,3.8401991512971603,COS4_11696_H.fits,COS4_11696
COS4_12056_H,1.5999,5.718108623307474,0.18249282840343,4.047392777629172,1.6816474618617496,5128613839.913659,512861383.9913659,57136690585.84576,52260336075.55272,1660075687.999202,1449574921.8244135,2612176651.513721,2330745382.0964913,3070090996.5344796,2755959541.544378,8939191349.576427,2642256756.6812544,19375633272.180283,5431007208.4753065,28875758456.58413,7980996089.81991,123.78475095256248,10.095218763696405,123.64233620035608,9.897869543722852,123.64233620035608,9.897869543722852,3.290345696113843,COS4_12056_H.fits,COS4_12056
COS4_12476_H,1.51431,1.9366886091621875,0.0434235114161925,3.5691403239111854,1.4909994865681724,11220184543.019651,1122018454.3019652,105435050887.19394,94880628061.94972,3631849883.0563025,3200522739.0212364,5714819833.158759,5112411693.283427,6716627264.251169,6034069083.936413,6681393232.522826,3742615874.008392,14563710746.663002,6215239161.831607,23860757183.088062,7972696924.881406,158.92963763726897,23.722120605931075,184.8391330937114,21.11030562048517,184.8391330937114,21.11030562048517,4.145555787881069,COS4_12476_H.fits,COS4_12476
COS4_13038_H,1.49815,3.030053801427689,0.0694568206630989,4.818541223705562,2.006977947557113,20417379446.69532,2041737944.669532,57267691163.40852,42128551566.47646,6608880350.54012,5821198748.359063,10399262557.200354,9301788287.729553,12222252399.721073,10979752532.509651,8358098380.62574,6896078043.399473,15241833875.19849,11989056867.269745,21157311962.826214,17046845359.792704,122.5541154161977,19.13486444134326,119.23560336664814,21.58256438004696,119.23560336664814,21.58256438004696,3.8952253238124155,COS4_13038_H.fits,COS4_13038
COS4_13701_K,2.16639,4.0827160260498605,0.1018557012735932,5.176410755974649,2.152557515688869,43651583224.016655,4365158322.401666,81974218674.60062,58086875504.21012,14129535643.511002,12421325336.253874,22233229106.074394,19875868710.296577,26130712278.93134,23470417175.252773,18318734759.02691,14323491401.663528,32534221111.587646,23072728071.36597,42942302403.59221,28253282487.31571,173.74634983311,18.591723640231365,125.85991278639324,13.97705620076432,125.85991278639324,13.97705620076432,3.525225821079061,COS4_13701_K.fits,COS4_13701
COS4_15820_K,2.09069,4.146208591880015,0.0682503471914405,9.579875838350024,4.178634898974842,25703957827.68865,2570395782.7688646,57781107470.14472,41105194041.53344,8320087416.802094,7373730648.043856,13091895897.179108,11730842266.010693,15386904135.37109,13829943308.279642,9399435928.859133,8344934965.034483,16225380592.629353,13236402476.926912,21447827268.984203,15881474321.958311,191.63096594676108,17.974228163146734,191.63096594676108,17.974228163146734,191.63096594676108,17.974228163146734,2.8288062652172328,COS4_15820_K.fits,COS4_15820
COS4_16172_YJ,1.03041,7.151529605546435,0.041434122859481,9.020381182853603,3.7556315552283497,54954087385.76248,5495408738.576248,108510182600.0055,76734653547.1366,17788031478.467434,15923527995.167253,27989977107.87875,25152151838.916603,32896617716.228508,29593280027.81394,22887568061.55845,17898519701.849804,40733178103.443985,28411666100.57463,54078685755.763016,33851805602.397068,244.02382894519343,31.85160030716368,234.8288339449238,60.17091743120526,234.8288339449238,60.17091743120526,3.9577045472919132,COS4_16172_YJ.fits,COS4_16172
